ENSG00000000003	ENST00000373020	TSPAN6	0
ENSG00000000005	ENST00000373031	TNMD	0
ENSG00000000419	ENST00000371582	DPM1	0
ENSG00000000419	ENST00000371583	DPM1	0
ENSG00000000419	ENST00000371584	DPM1	3
ENSG00000000419	ENST00000371588	DPM1	0
ENSG00000000419	ENST00000413082	DPM1	3
ENSG00000000457	ENST00000367770	SCYL3	0
ENSG00000000457	ENST00000367771	SCYL3	0
ENSG00000000457	ENST00000367772	SCYL3	0
ENSG00000000457	ENST00000423670	SCYL3	3
ENSG00000000460	ENST00000286031	C1orf112	4
ENSG00000000460	ENST00000359326	C1orf112	4
ENSG00000000460	ENST00000413811	C1orf112	0
ENSG00000000460	ENST00000456684	C1orf112	4
ENSG00000000938	ENST00000374003	FGR	0
ENSG00000000938	ENST00000374004	FGR	0
ENSG00000000938	ENST00000374005	FGR	0
ENSG00000000938	ENST00000399173	FGR	0
ENSG00000000938	ENST00000457296	FGR	3
ENSG00000000938	ENST00000545953	FGR	8
ENSG00000000971	ENST00000359637	CFH	8
ENSG00000000971	ENST00000367429	CFH	0
ENSG00000000971	ENST00000439155	CFH	8
ENSG00000001036	ENST00000002165	FUCA2	0
ENSG00000001036	ENST00000438118	FUCA2	0
ENSG00000001036	ENST00000451668	FUCA2	3
ENSG00000001084	ENST00000229416	GCLC	0
ENSG00000001084	ENST00000504525	GCLC	8
ENSG00000001084	ENST00000505197	GCLC	3
ENSG00000001084	ENST00000505294	GCLC	0
ENSG00000001084	ENST00000513939	GCLC	3
ENSG00000001084	ENST00000514004	GCLC	0
ENSG00000001084	ENST00000514373	GCLC	11
ENSG00000001084	ENST00000514933	GCLC	11
ENSG00000001167	ENST00000341376	NFYA	0
ENSG00000001167	ENST00000353205	NFYA	0
ENSG00000001460	ENST00000003583	STPG1	0
ENSG00000001460	ENST00000337248	STPG1	0
ENSG00000001460	ENST00000374409	STPG1	0
ENSG00000001460	ENST00000435187	STPG1	3
ENSG00000001460	ENST00000438866	STPG1	3
ENSG00000001460	ENST00000440416	STPG1	0
ENSG00000001461	ENST00000003912	NIPAL3	0
ENSG00000001461	ENST00000339255	NIPAL3	4
ENSG00000001461	ENST00000358028	NIPAL3	4
ENSG00000001461	ENST00000374399	NIPAL3	4
ENSG00000001461	ENST00000428131	NIPAL3	4
ENSG00000001461	ENST00000432012	NIPAL3	3
ENSG00000001497	ENST00000312391	LAS1L	0
ENSG00000001497	ENST00000374804	LAS1L	0
ENSG00000001497	ENST00000374807	LAS1L	0
ENSG00000001497	ENST00000374811	LAS1L	0
ENSG00000001497	ENST00000469091	LAS1L	3
ENSG00000001497	ENST00000484069	LAS1L	0
ENSG00000001561	ENST00000321037	ENPP4	0
ENSG00000001617	ENST00000002829	SEMA3F	0
ENSG00000001617	ENST00000413852	SEMA3F	0
ENSG00000001617	ENST00000414301	SEMA3F	3
ENSG00000001617	ENST00000420831	SEMA3F	3
ENSG00000001617	ENST00000426511	SEMA3F	3
ENSG00000001617	ENST00000434342	SEMA3F	0
ENSG00000001617	ENST00000450338	SEMA3F	3
ENSG00000001626	ENST00000003084	CFTR	0
ENSG00000001626	ENST00000426809	CFTR	3
ENSG00000001626	ENST00000446805	CFTR	3
ENSG00000001626	ENST00000454343	CFTR	0
ENSG00000001626	ENST00000468795	CFTR	3
ENSG00000001626	ENST00000600166	CFTR	3
ENSG00000001629	ENST00000265742	ANKIB1	0
ENSG00000001629	ENST00000413588	ANKIB1	3
ENSG00000001629	ENST00000422095	ANKIB1	3
ENSG00000001629	ENST00000439883	ANKIB1	11
ENSG00000001629	ENST00000442183	ANKIB1	3
ENSG00000001630	ENST00000003100	CYP51A1	0
ENSG00000001630	ENST00000422867	CYP51A1	3
ENSG00000001630	ENST00000435873	CYP51A1	3
ENSG00000001630	ENST00000450723	CYP51A1	0
ENSG00000001631	ENST00000340022	KRIT1	0
ENSG00000001631	ENST00000394503	KRIT1	0
ENSG00000001631	ENST00000394505	KRIT1	0
ENSG00000001631	ENST00000394507	KRIT1	0
ENSG00000001631	ENST00000412043	KRIT1	0
ENSG00000001631	ENST00000413688	KRIT1	3
ENSG00000001631	ENST00000422347	KRIT1	3
ENSG00000001631	ENST00000425073	KRIT1	3
ENSG00000001631	ENST00000425919	KRIT1	11
ENSG00000001631	ENST00000430102	KRIT1	3
ENSG00000001631	ENST00000433016	KRIT1	3
ENSG00000001631	ENST00000440209	KRIT1	3
ENSG00000001631	ENST00000444960	KRIT1	3
ENSG00000001631	ENST00000445516	KRIT1	11
ENSG00000001631	ENST00000452773	KRIT1	3
ENSG00000001631	ENST00000454017	KRIT1	3
ENSG00000001631	ENST00000458177	KRIT1	3
ENSG00000001631	ENST00000458493	KRIT1	3
ENSG00000002016	ENST00000358495	RAD52	0
ENSG00000002016	ENST00000397230	RAD52	3
ENSG00000002016	ENST00000430095	RAD52	0
ENSG00000002016	ENST00000461568	RAD52	8
